#1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len	
chr1	2900000	3000000	0.453950	0.546050	22546	27396	27209	22849	0	0	100000
chr1	3000000	3100000	0.417200	0.582800	20052	28785	29495	21668	0	0	100000
chr1	3100000	3200000	0.431950	0.568050	21710	27704	29101	21485	0	0	100000
chr1	3200000	3300000	0.430310	0.569690	21197	28993	27976	21834	0	0	100000
chr1	3300000	3400000	0.416920	0.583080	20555	28953	29355	21137	0	0	100000
chr1	3400000	3500000	0.380760	0.619240	20230	32138	29786	17846	0	0	100000
chr1	3500000	3600000	0.429360	0.570640	22349	28843	28221	20587	0	0	100000
chr1	3600000	3700000	0.413310	0.586690	20547	29234	29435	20784	0	0	100000
chr1	3700000	3800000	0.498980	0.501020	24586	25022	25080	25312	0	0	100000
chr1	3800000	3900000	0.214780	0.237900	10301	12123	11667	11177	54732	0	100000
chr1	3900000	4000000	0.025090	0.022230	998	1087	1136	1511	95268	0	100000
chr1	4000000	4100000	0.503360	0.496640	24966	23670	25994	25370	0	0	100000
chr1	4100000	4200000	0.495000	0.505000	24630	24973	25527	24870	0	0	100000
chr1	4200000	4300000	0.528430	0.471570	25420	23274	23883	27423	0	0	100000
chr1	4300000	4400000	0.537200	0.462800	24991	22466	23814	28729	0	0	100000
chr1	4400000	4500000	0.523140	0.476860	25843	23344	24342	26471	0	0	100000
chr1	4500000	4600000	0.521560	0.478440	26332	24317	23527	25824	0	0	100000
chr1	4600000	4700000	0.520340	0.479660	25610	23955	24011	26424	0	0	100000
chr1	4700000	4800000	0.471780	0.528220	22719	25298	27524	24459	0	0	100000
chr1	4800000	4900000	0.524090	0.475910	26671	23817	23774	25738	0	0	100000
chr1	4900000	5000000	0.553090	0.446910	27088	22536	22155	28221	0	0	100000
chr1	5000000	5100000	0.554770	0.445230	27668	22525	21998	27809	0	0	100000
chr1	5100000	5200000	0.589610	0.410390	30719	21547	19492	28242	0	0	100000
chr1	5200000	5300000	0.568910	0.431090	28845	21864	21245	28046	0	0	100000
chr1	5300000	5400000	0.530040	0.469960	26824	23424	23572	26180	0	0	100000
chr1	5400000	5500000	0.519440	0.480560	25935	24620	23436	26009	0	0	100000
chr1	5500000	5600000	0.508620	0.491380	26084	25043	24095	24778	0	0	100000
chr1	5600000	5700000	0.561440	0.438560	28930	22344	21512	27214	0	0	100000
chr1	5700000	5800000	0.504460	0.495540	26887	24851	24703	23559	0	0	100000
chr1	5800000	5900000	0.487350	0.512650	26500	26569	24696	22235	0	0	100000
chr1	5900000	6000000	0.482480	0.517520	26615	27180	24572	21633	0	0	100000
chr1	6000000	6100000	0.476750	0.523250	25102	26491	25834	22573	0	0	100000
chr1	6100000	6200000	0.441970	0.558030	23169	27713	28090	21028	0	0	100000
chr1	6200000	6300000	0.455500	0.544500	24517	27760	26690	21033	0	0	100000
chr1	6300000	6400000	0.435260	0.564740	23089	28439	28035	20437	0	0	100000
chr1	6400000	6500000	0.465160	0.534840	24288	27305	26179	22228	0	0	100000
chr1	6500000	6600000	0.428670	0.571330	22443	29708	27425	20424	0	0	100000
chr1	6600000	6700000	0.466250	0.533750	23173	26309	27066	23452	0	0	100000
chr1	6700000	6800000	0.534270	0.465730	26600	23847	22726	26827	0	0	100000
chr1	6800000	6900000	0.564980	0.435020	25629	21277	22225	30869	0	0	100000
chr1	6900000	7000000	0.555990	0.444010	26184	21396	23005	29415	0	0	100000
chr1	7000000	7100000	0.520180	0.479820	23434	23277	24705	28584	0	0	100000
chr1	7100000	7200000	0.515400	0.484600	23804	23864	24596	27736	0	0	100000
chr1	7200000	7300000	0.546300	0.453700	25438	22616	22754	29192	0	0	100000
chr1	7300000	7400000	0.562420	0.437580	27093	21074	22684	29149	0	0	100000
chr1	7400000	7500000	0.502340	0.497660	22605	24689	25077	27629	0	0	100000
chr1	7500000	7600000	0.460400	0.539600	22963	26967	26993	23077	0	0	100000
chr1	7600000	7700000	0.476510	0.523490	23241	25823	26526	24410	0	0	100000
chr1	7700000	7800000	0.478840	0.521160	24028	26043	26073	23856	0	0	100000
chr1	7800000	7900000	0.589500	0.410500	28824	20327	20723	30126	0	0	100000
chr1	7900000	8000000	0.553500	0.446500	28753	22670	21980	26597	0	0	100000
chr1	8000000	8100000	0.551180	0.448820	26868	22520	22362	28250	0	0	100000
chr1	8100000	8200000	0.563060	0.436940	27215	21758	21936	29091	0	0	100000
chr1	8200000	8300000	0.522890	0.477110	26557	22910	24801	25732	0	0	100000
chr1	8300000	8400000	0.521870	0.478130	25660	23715	24098	26527	0	0	100000
chr1	8400000	8500000	0.527490	0.472510	28092	24618	22633	24657	0	0	100000
chr1	8500000	8600000	0.576970	0.423030	31545	21930	20373	26152	0	0	100000
chr1	8600000	8700000	0.604250	0.395750	33086	21084	18491	27339	0	0	100000
chr1	8700000	8800000	0.593820	0.406180	32310	21676	18942	27072	0	0	100000
chr1	8800000	8900000	0.578170	0.421830	31091	22105	20078	26726	0	0	100000
chr1	8900000	9000000	0.516740	0.483260	25558	25049	23277	26116	0	0	100000
chr1	9000000	9100000	0.505090	0.494910	25266	25142	24349	25243	0	0	100000
chr1	9100000	9200000	0.519910	0.480090	26977	24767	23242	25014	0	0	100000
chr1	9200000	9300000	0.497530	0.502470	25349	25685	24562	24404	0	0	100000
chr1	9300000	9400000	0.469940	0.530060	21664	25634	27372	25330	0	0	100000
chr1	9400000	9500000	0.474070	0.525930	23482	26458	26135	23925	0	0	100000
chr1	9500000	9600000	0.506080	0.493920	26019	25125	24267	24589	0	0	100000
chr1	9600000	9700000	0.491270	0.508730	23432	25162	25711	25695	0	0	100000
chr1	9700000	9800000	0.486950	0.513050	23520	25413	25892	25175	0	0	100000
chr1	9800000	9900000	0.527330	0.472670	28327	23644	23623	24406	0	0	100000
chr1	9900000	10000000	0.502130	0.497870	26261	25357	24430	23952	0	0	100000
chr1	10000000	10100000	0.530250	0.469750	26052	23251	23724	26973	0	0	100000
chr1	10100000	10200000	0.563010	0.436990	25860	21434	22265	30441	0	0	100000
chr1	10200000	10300000	0.552410	0.447590	26632	22010	22749	28609	0	0	100000
chr1	10300000	10400000	0.590650	0.409350	27035	19895	21040	32030	0	0	100000
chr1	10400000	10500000	0.537870	0.462130	26261	22094	24119	27526	0	0	100000
chr1	10500000	10600000	0.538060	0.461940	23905	22838	23356	29901	0	0	100000
chr1	10600000	10700000	0.538030	0.461970	25393	22501	23696	28410	0	0	100000
chr1	10700000	10800000	0.417060	0.582940	22085	29391	28903	19621	0	0	100000
chr1	10800000	10900000	0.465530	0.534470	23960	28136	25311	22593	0	0	100000
chr1	10900000	11000000	0.484390	0.515610	24306	26401	25160	24133	0	0	100000
chr1	11000000	11100000	0.509720	0.490280	26635	23679	25349	24337	0	0	100000
chr1	11100000	11200000	0.516220	0.483780	26371	23602	24776	25251	0	0	100000
chr1	11200000	11300000	0.563250	0.436750	30365	21910	21765	25960	0	0	100000
chr1	11300000	11400000	0.504640	0.495360	24629	24800	24736	25835	0	0	100000
chr1	11400000	11500000	0.505110	0.494890	23478	24787	24702	27033	0	0	100000
chr1	11500000	11600000	0.471650	0.528350	23038	26292	26543	24127	0	0	100000
chr1	11600000	11700000	0.498310	0.501690	26035	25395	24774	23796	0	0	100000
chr1	11700000	11800000	0.462110	0.537890	23554	27448	26341	22657	0	0	100000
chr1	11800000	11900000	0.481820	0.518180	23608	25510	26308	24574	0	0	100000
chr1	11900000	12000000	0.486740	0.513260	24588	25608	25718	24086	0	0	100000
chr1	12000000	12100000	0.477460	0.522540	22370	25814	26440	25376	0	0	100000
chr1	12100000	12200000	0.494700	0.505300	23334	25611	24919	26136	0	0	100000
chr1	12200000	12300000	0.475010	0.524990	23015	25323	27176	24486	0	0	100000
chr1	12300000	12400000	0.582910	0.417090	26338	20165	21544	31953	0	0	100000
chr1	12400000	12500000	0.588450	0.411550	28074	19856	21299	30771	0	0	100000
chr1	12500000	12600000	0.550740	0.449260	26167	22028	22898	28907	0	0	100000
chr1	12600000	12700000	0.483790	0.516210	23777	26111	25510	24602	0	0	100000
chr1	12700000	12800000	0.557360	0.442640	26776	21574	22690	28960	0	0	100000
chr1	12800000	12900000	0.552480	0.447520	26593	22289	22463	28655	0	0	100000
chr1	12900000	13000000	0.545320	0.454680	27233	23006	22462	27299	0	0	100000
chr1	13000000	13100000	0.288570	0.241410	13580	12167	11974	15277	47002	0	100000
chr1	13100000	13200000	0.525770	0.444250	26119	22374	22051	26458	2998	0	100000
chr1	13200000	13300000	0.104510	0.094610	5217	4758	4703	5234	80088	0	100000
chr1	13300000	13400000	0.431510	0.369370	22197	18300	18637	20954	19912	0	100000
chr1	13400000	13500000	0.538050	0.461950	27894	23068	23127	25911	0	0	100000
chr1	13500000	13600000	0.302820	0.268800	14700	13516	13364	15582	42838	0	100000
chr1	13600000	13700000	0.500080	0.428300	25666	21356	21474	24342	7162	0	100000
chr1	13700000	13800000	0.526410	0.473590	26172	23554	23805	26469	0	0	100000
chr1	13800000	13900000	0.523540	0.476460	26805	24648	22998	25549	0	0	100000
chr1	13900000	14000000	0.549520	0.450480	26931	22574	22474	28021	0	0	100000
chr1	14000000	14100000	0.591820	0.408180	27592	19242	21576	31590	0	0	100000
chr1	14100000	14200000	0.545560	0.454440	24970	22396	23048	29586	0	0	100000
chr1	14200000	14300000	0.558230	0.441770	26411	21283	22894	29412	0	0	100000
chr1	14300000	14400000	0.578070	0.421930	29193	20507	21686	28614	0	0	100000
chr1	14400000	14500000	0.569320	0.430680	26284	21467	21601	30648	0	0	100000
chr1	14500000	14600000	0.589450	0.410550	29593	19912	21143	29352	0	0	100000
chr1	14600000	14700000	0.578130	0.421870	27575	21214	20973	30238	0	0	100000
chr1	14700000	14800000	0.568220	0.431780	29120	21638	21540	27702	0	0	100000
chr1	14800000	14900000	0.565630	0.434370	28582	22195	21242	27981	0	0	100000
chr1	14900000	15000000	0.542950	0.457050	26722	22557	23148	27573	0	0	100000
chr1	15000000	15100000	0.527720	0.472280	25772	23357	23871	27000	0	0	100000
chr1	15100000	15200000	0.515920	0.484080	25422	24035	24373	26170	0	0	100000
chr1	15200000	15300000	0.495930	0.504070	24232	24949	25458	25361	0	0	100000
chr1	15300000	15400000	0.480720	0.519280	23737	25708	26220	24335	0	0	100000
chr1	15400000	15500000	0.505040	0.494960	25446	24540	24956	25058	0	0	100000
chr1	15500000	15600000	0.535720	0.464280	26493	22951	23477	27079	0	0	100000
chr1	15600000	15700000	0.519840	0.480160	26329	24035	23981	25655	0	0	100000
chr1	15700000	15800000	0.489680	0.510320	25299	26023	25009	23669	0	0	100000
chr1	15800000	15900000	0.540330	0.459670	27385	23178	22789	26648	0	0	100000
chr1	15900000	16000000	0.550800	0.449200	26636	22138	22782	28444	0	0	100000
chr1	16000000	16100000	0.464740	0.535260	22705	26665	26861	23769	0	0	100000
chr1	16100000	16200000	0.523500	0.476500	25500	23410	24240	26850	0	0	100000
chr1	16200000	16300000	0.545380	0.454620	27116	22415	23047	27422	0	0	100000
chr1	16300000	16400000	0.444590	0.555410	21545	28307	27234	22914	0	0	100000
chr1	16400000	16500000	0.456380	0.543620	23565	27270	27092	22073	0	0	100000
chr1	16500000	16600000	0.490970	0.509030	25109	26023	24880	23988	0	0	100000
chr1	16600000	16700000	0.552380	0.447620	29331	22744	22018	25907	0	0	100000
chr1	16700000	16800000	0.510240	0.489760	23934	24064	24912	27090	0	0	100000
chr1	16800000	16900000	0.526330	0.473670	27131	24031	23336	25502	0	0	100000
chr1	16900000	17000000	0.523520	0.476480	26593	24091	23557	25759	0	0	100000
chr1	17000000	17100000	0.497600	0.502400	24340	25696	24544	25420	0	0	100000
chr1	17100000	17200000	0.273620	0.226380	12873	11030	11608	14489	50000	0	100000
chr1	17200000	17300000	0.484340	0.515660	23731	25280	26286	24703	0	0	100000
chr1	17300000	17400000	0.495550	0.504450	24212	25504	24941	25343	0	0	100000
chr1	17400000	17500000	0.501480	0.498520	24634	24523	25329	25514	0	0	100000
chr1	17500000	17600000	0.489910	0.510090	24604	24825	26184	24387	0	0	100000
chr1	17600000	17700000	0.509810	0.490190	26031	24061	24958	24950	0	0	100000
chr1	17700000	17800000	0.490830	0.509170	25607	25390	25527	23476	0	0	100000
chr1	17800000	17900000	0.491670	0.508330	22605	24531	26302	26562	0	0	100000
chr1	17900000	18000000	0.450820	0.549180	20929	26239	28679	24153	0	0	100000
chr1	18000000	18100000	0.480740	0.519260	22328	25253	26673	25746	0	0	100000
chr1	18100000	18200000	0.517990	0.482010	23355	23762	24439	28444	0	0	100000
chr1	18200000	18300000	0.515780	0.484220	25140	24046	24376	26438	0	0	100000
chr1	18300000	18400000	0.516610	0.483390	25398	24379	23960	26263	0	0	100000
chr1	18400000	18500000	0.496240	0.503760	23957	24759	25617	25667	0	0	100000
chr1	18500000	18600000	0.510150	0.489850	24935	24025	24960	26080	0	0	100000
chr1	18600000	18700000	0.502110	0.497890	25353	24688	25101	24858	0	0	100000
chr1	18700000	18800000	0.522770	0.477230	26428	24702	23021	25849	0	0	100000
chr1	18800000	18900000	0.526000	0.474000	27746	23996	23404	24854	0	0	100000
chr1	18900000	19000000	0.495480	0.504520	25711	24685	25767	23837	0	0	100000
chr1	19000000	19100000	0.494850	0.505150	24720	25008	25507	24765	0	0	100000
chr1	19100000	19200000	0.490830	0.509170	26094	26585	24332	22989	0	0	100000
chr1	19200000	19300000	0.466720	0.533280	24614	27504	25824	22058	0	0	100000
chr1	19300000	19400000	0.510530	0.489470	27752	24646	24301	23301	0	0	100000
chr1	19400000	19500000	0.552770	0.447230	30319	23091	21632	24958	0	0	100000
chr1	19500000	19600000	0.544430	0.455570	29539	23379	22178	24904	0	0	100000
chr1	19600000	19700000	0.484530	0.515470	24825	25420	26127	23628	0	0	100000
chr1	19700000	19800000	0.522810	0.477190	28240	24700	23019	24041	0	0	100000
chr1	19800000	19900000	0.539690	0.460310	27057	23499	22532	26912	0	0	100000
chr1	19900000	20000000	0.519630	0.480370	24577	23870	24167	27386	0	0	100000
chr1	20000000	20100000	0.504100	0.495900	25017	24878	24712	25393	0	0	100000
chr1	20100000	20200000	0.552310	0.447690	28351	22356	22413	26880	0	0	100000
chr1	20200000	20300000	0.550750	0.449250	26001	21833	23092	29074	0	0	100000
chr1	20300000	20400000	0.577710	0.422290	26953	20211	22018	30818	0	0	100000
chr1	20400000	20500000	0.502660	0.497340	24605	24513	25221	25661	0	0	100000
chr1	20500000	20600000	0.540000	0.460000	27423	23294	22706	26577	0	0	100000
chr1	20600000	20700000	0.497270	0.502730	25257	25000	25273	24470	0	0	100000
chr1	20700000	20800000	0.516350	0.483650	27586	24568	23797	24049	0	0	100000
chr1	20800000	20900000	0.510300	0.489700	26876	24359	24611	24154	0	0	100000
chr1	20900000	21000000	0.510490	0.489510	26391	24328	24623	24658	0	0	100000
chr1	21000000	21100000	0.507600	0.492400	27099	24704	24536	23661	0	0	100000
chr1	21100000	21200000	0.582950	0.417050	29128	21396	20309	29167	0	0	100000
chr1	21200000	21300000	0.622370	0.377630	32936	18927	18836	29301	0	0	100000
chr1	21300000	21400000	0.611160	0.388840	33411	20181	18703	27705	0	0	100000
chr1	21400000	21500000	0.598570	0.401430	33561	20892	19251	26296	0	0	100000
chr1	21500000	21600000	0.504110	0.495890	25310	25052	24537	25101	0	0	100000
chr1	21600000	21700000	0.486980	0.513020	25222	25454	25848	23476	0	0	100000
chr1	21700000	21800000	0.542330	0.457670	26782	22748	23019	27451	0	0	100000
chr1	21800000	21900000	0.501230	0.498770	23404	24814	25063	26719	0	0	100000
chr1	21900000	22000000	0.437360	0.562640	22988	28559	27705	20748	0	0	100000
chr1	22000000	22100000	0.584940	0.415060	31985	21020	20486	26509	0	0	100000
chr1	22100000	22200000	0.472590	0.527410	23546	26588	26153	23713	0	0	100000
chr1	22200000	22300000	0.464080	0.535920	24197	27182	26410	22211	0	0	100000
chr1	22300000	22400000	0.520620	0.479380	25061	23337	24601	27001	0	0	100000
chr1	22400000	22500000	0.508170	0.491830	23335	23497	25686	27482	0	0	100000
chr1	22500000	22600000	0.483220	0.516780	22683	25174	26504	25639	0	0	100000
chr1	22600000	22700000	0.514160	0.485840	26671	24015	24569	24745	0	0	100000
chr1	22700000	22800000	0.548100	0.451900	26911	22203	22987	27899	0	0	100000
chr1	22800000	22900000	0.519230	0.480770	24677	23797	24280	27246	0	0	100000
chr1	22900000	23000000	0.470210	0.529790	23640	26574	26405	23381	0	0	100000
chr1	23000000	23100000	0.490270	0.509730	24360	25469	25504	24667	0	0	100000
chr1	23100000	23200000	0.482220	0.517780	24542	25515	26263	23680	0	0	100000
chr1	23200000	23300000	0.504130	0.495870	26156	24997	24590	24257	0	0	100000
chr1	23300000	23400000	0.584260	0.415740	28060	19530	22044	30366	0	0	100000
chr1	23400000	23500000	0.570470	0.429530	29977	22304	20649	27070	0	0	100000
chr1	23500000	23600000	0.524210	0.475790	26492	23969	23610	25929	0	0	100000
chr1	23600000	23700000	0.588780	0.411220	31289	21178	19944	27589	0	0	100000
chr1	23700000	23800000	0.510430	0.489570	25833	25082	23875	25210	0	0	100000
chr1	23800000	23900000	0.500230	0.499770	25227	25538	24439	24796	0	0	100000
chr1	23900000	24000000	0.515890	0.484110	25209	24152	24259	26380	0	0	100000
chr1	24000000	24100000	0.534400	0.465600	26799	22125	24435	26641	0	0	100000
chr1	24100000	24200000	0.523450	0.476550	26283	23943	23712	26062	0	0	100000
chr1	24200000	24300000	0.546170	0.453830	27305	22630	22753	27312	0	0	100000
chr1	24300000	24400000	0.536310	0.463690	24881	23315	23054	28750	0	0	100000
chr1	24400000	24500000	0.493290	0.506710	23872	25418	25253	25457	0	0	100000
chr1	24500000	24600000	0.531070	0.468930	25763	23300	23593	27344	0	0	100000
chr1	24600000	24700000	0.514490	0.485510	25435	24529	24022	26014	0	0	100000
chr1	24700000	24800000	0.563000	0.437000	28161	21593	22107	28139	0	0	100000
chr1	24800000	24900000	0.550750	0.449250	28002	22160	22765	27073	0	0	100000
chr1	24900000	25000000	0.560000	0.440000	27424	21346	22654	28576	0	0	100000
chr1	25000000	25100000	0.528890	0.471110	25564	23260	23851	27325	0	0	100000
chr1	25100000	25200000	0.566570	0.433430	26763	21182	22161	29894	0	0	100000
chr1	25200000	25300000	0.476750	0.523250	23225	26432	25893	24450	0	0	100000
chr1	25300000	25400000	0.478860	0.521140	23862	26671	25443	24024	0	0	100000
chr1	25400000	25500000	0.535510	0.464490	28810	23449	23000	24741	0	0	100000
chr1	25500000	25600000	0.531970	0.468030	27504	24215	22588	25693	0	0	100000
chr1	25600000	25700000	0.546170	0.453830	27021	22206	23177	27596	0	0	100000
chr1	25700000	25800000	0.558050	0.441950	26965	22446	21749	28840	0	0	100000
chr1	25800000	25900000	0.509670	0.490330	25370	24036	24997	25597	0	0	100000
chr1	25900000	26000000	0.525020	0.474980	24146	23477	24021	28356	0	0	100000
chr1	26000000	26100000	0.504090	0.495910	24231	25197	24394	26178	0	0	100000
chr1	26100000	26200000	0.502180	0.497820	24978	25536	24246	25240	0	0	100000
chr1	26200000	26300000	0.526220	0.473780	27683	23427	23951	24939	0	0	100000
chr1	26300000	26400000	0.497790	0.502210	25076	25371	24850	24703	0	0	100000
chr1	26400000	26500000	0.530030	0.469970	27769	23335	23662	25234	0	0	100000
chr1	26500000	26600000	0.521400	0.478600	25256	23697	24163	26884	0	0	100000
chr1	26600000	26700000	0.468860	0.531140	24264	27300	25814	22622	0	0	100000
chr1	26700000	26800000	0.535180	0.464820	26428	22898	23584	27090	0	0	100000
chr1	26800000	26900000	0.498200	0.501800	24000	24817	25363	25820	0	0	100000
chr1	26900000	27000000	0.545610	0.454390	26707	22761	22678	27854	0	0	100000
chr1	27000000	27100000	0.544680	0.455320	25873	21827	23705	28595	0	0	100000
chr1	27100000	27200000	0.496640	0.503360	23804	25389	24947	25860	0	0	100000
chr1	27200000	27300000	0.509340	0.490660	25508	24365	24701	25426	0	0	100000
chr1	27300000	27400000	0.487490	0.512510	23391	26297	24954	25358	0	0	100000
chr1	27400000	27500000	0.497660	0.502340	25306	26124	24110	24460	0	0	100000
chr1	27500000	27600000	0.549230	0.450770	25883	22594	22483	29040	0	0	100000
chr1	27600000	27700000	0.482660	0.517340	23832	26055	25679	24434	0	0	100000
chr1	27700000	27800000	0.527080	0.472920	27742	23956	23336	24966	0	0	100000
chr1	27800000	27900000	0.476090	0.523910	24583	26214	26177	23026	0	0	100000
chr1	27900000	28000000	0.473250	0.526750	23331	27131	25544	23994	0	0	100000
chr1	28000000	28100000	0.557760	0.442240	27005	22414	21810	28771	0	0	100000
chr1	28100000	28200000	0.549610	0.450390	27018	21962	23077	27943	0	0	100000
chr1	28200000	28300000	0.516460	0.483540	25798	24239	24115	25848	0	0	100000
chr1	28300000	28400000	0.605080	0.394920	32275	19859	19633	28233	0	0	100000
chr1	28400000	28500000	0.550410	0.449590	28928	22566	22393	26113	0	0	100000
chr1	28500000	28600000	0.536040	0.463960	28100	23183	23213	25504	0	0	100000
chr1	28600000	28700000	0.537660	0.462340	25798	23496	22738	27968	0	0	100000
chr1	28700000	28800000	0.578000	0.422000	27450	20894	21306	30350	0	0	100000
chr1	28800000	28900000	0.524260	0.475740	26141	23233	24341	26285	0	0	100000
chr1	28900000	29000000	0.521100	0.478900	26854	23799	24091	25256	0	0	100000
chr1	29000000	29100000	0.552630	0.447370	26288	21676	23061	28975	0	0	100000
chr1	29100000	29200000	0.504910	0.495090	24312	24252	25257	26179	0	0	100000
chr1	29200000	29300000	0.553400	0.446600	26304	21766	22894	29036	0	0	100000
chr1	29300000	29400000	0.603640	0.396360	28855	19269	20367	31509	0	0	100000
chr1	29400000	29500000	0.540360	0.459640	26644	23224	22740	27392	0	0	100000
chr1	29500000	29600000	0.508470	0.491530	23956	24231	24922	26891	0	0	100000
chr1	29600000	29700000	0.493330	0.506670	22628	25326	25341	26705	0	0	100000
chr1	29700000	29800000	0.520380	0.479620	23757	23569	24393	28281	0	0	100000
chr1	29800000	29900000	0.403120	0.377700	19827	18803	18967	20485	21918	0	100000
chr1	29900000	30000000	0.000000	0.000000	0	0	0	0	100000	0	100000
chr1	30000000	30100000	0.387600	0.331580	18616	16035	17123	20144	28082	0	100000
chr1	30100000	30200000	0.510310	0.489690	24945	24320	24649	26086	0	0	100000
chr1	30200000	30300000	0.533000	0.467000	25800	22937	23763	27500	0	0	100000
chr1	30300000	30400000	0.520470	0.479530	25911	24274	23679	26136	0	0	100000
chr1	30400000	30500000	0.532290	0.467710	26276	23579	23192	26953	0	0	100000
chr1	30500000	30600000	0.497590	0.502410	25407	25292	24949	24352	0	0	100000
chr1	30600000	30700000	0.542860	0.457140	27746	23217	22497	26540	0	0	100000
chr1	30700000	30800000	0.516480	0.483520	27179	24351	24001	24469	0	0	100000
chr1	30800000	30900000	0.509850	0.490150	25730	24573	24442	25255	0	0	100000
chr1	30900000	31000000	0.525290	0.474710	27869	23550	23921	24660	0	0	100000
chr1	31000000	31100000	0.559740	0.440260	28499	22447	21579	27475	0	0	100000
chr1	31100000	31200000	0.482400	0.517600	25111	26640	25120	23129	0	0	100000
chr1	31200000	31300000	0.476630	0.523370	25130	27052	25285	22533	0	0	100000
chr1	31300000	31400000	0.488190	0.511810	25219	26325	24856	23600	0	0	100000
chr1	31400000	31500000	0.596670	0.403330	32639	20970	19363	27028	0	0	100000
chr1	31500000	31600000	0.552030	0.447970	29144	22673	22124	26059	0	0	100000
chr1	31600000	31700000	0.504210	0.495790	25439	24678	24901	24982	0	0	100000
chr1	31700000	31800000	0.557260	0.442740	27757	22202	22072	27969	0	0	100000
chr1	31800000	31900000	0.532250	0.467750	25229	23176	23599	27996	0	0	100000
chr1	31900000	32000000	0.553900	0.446100	25714	21738	22872	29676	0	0	100000
chr1	32000000	32100000	0.516310	0.483690	25316	24452	23917	26315	0	0	100000
chr1	32100000	32200000	0.460190	0.539810	24113	27889	26092	21906	0	0	100000
chr1	32200000	32300000	0.472990	0.527010	24093	26969	25732	23206	0	0	100000
chr1	32300000	32400000	0.569500	0.430500	30861	21514	21536	26089	0	0	100000
chr1	32400000	32500000	0.537730	0.462270	26751	23827	22400	27022	0	0	100000
chr1	32500000	32600000	0.537480	0.462520	25701	22773	23479	28047	0	0	100000
chr1	32600000	32700000	0.519670	0.480330	25204	23305	24728	26763	0	0	100000
chr1	32700000	32800000	0.511530	0.488470	25396	23503	25344	25757	0	0	100000
chr1	32800000	32900000	0.506600	0.493400	24535	25108	24232	26125	0	0	100000
chr1	32900000	33000000	0.547440	0.452560	27149	22627	22629	27595	0	0	100000
chr1	33000000	33100000	0.561340	0.438660	27536	22371	21495	28598	0	0	100000
chr1	33100000	33200000	0.525450	0.474550	25140	23927	23528	27405	0	0	100000
chr1	33200000	33300000	0.514900	0.485100	25031	24053	24457	26459	0	0	100000
chr1	33300000	33400000	0.514060	0.485940	24772	24390	24204	26634	0	0	100000
chr1	33400000	33500000	0.535430	0.464570	27786	23763	22694	25757	0	0	100000
chr1	33500000	33600000	0.532160	0.467840	26072	23097	23687	27144	0	0	100000
chr1	33600000	33700000	0.536110	0.463890	26498	23081	23308	27113	0	0	100000
